,1. open,2. high,3. low,4. close,5. volume
2020-01-06 19:50:00,278.9720,279.1170,278.8350,279.0550,400
2020-01-06 19:55:00,278.8690,279.0130,278.7320,278.9520,900
2020-01-07 07:00:00,278.6910,278.8350,278.5540,278.7730,150
2020-01-07 07:05:00,278.7190,278.8630,278.5820,278.8020,309
2020-01-07 07:30:00,278.7850,278.9290,278.6480,278.8670,900
2020-01-07 07:40:00,278.7850,278.9290,278.6480,278.8670,500
2020-01-07 08:00:00,278.8790,279.0230,278.6570,278.8770,1100
2020-01-07 08:10:00,278.9910,279.1350,278.4880,278.7080,1513
2020-01-07 08:20:00,278.6160,278.7600,278.4790,278.6980,100
2020-01-07 08:35:00,278.5220,278.6660,278.3850,278.6050,100
2020-01-07 08:40:00,278.5220,278.6660,278.3850,278.6050,500
2020-01-07 08:45:00,278.4380,278.5820,278.2350,278.4550,2100
2020-01-07 08:50:00,278.3630,278.5070,278.1600,278.3790,450
2020-01-07 08:55:00,278.2320,278.3750,278.0950,278.3140,1800
2020-01-07 09:00:00,278.2130,278.4500,278.0200,278.3610,4800
2020-01-07 09:05:00,278.2500,278.3940,278.1040,278.3230,300
2020-01-07 09:10:00,278.3160,278.4600,278.1790,278.3980,134
2020-01-07 09:20:00,278.2220,278.3660,278.0670,278.2860,1400
2020-01-07 09:25:00,278.2690,278.4970,278.1140,278.3330,5199
2020-01-07 09:30:00,278.3160,278.5260,277.8610,278.4360,208662
2020-01-07 09:35:00,278.4180,278.6480,277.8320,278.0510,30873
2020-01-07 09:40:00,277.9690,278.1600,277.6260,277.8450,31270
2020-01-07 09:45:00,277.7250,277.9910,277.4680,277.9200,66898
2020-01-07 09:50:00,277.8280,278.0880,277.5600,277.7890,22198
2020-01-07 09:55:00,277.6650,278.1320,277.5040,277.9950,14864
